image,class
images/p7FhNESI-2TX5-aXiT-9nNv-f7LJlzc9BgqO.jpg,artificial_roughness
images/XJV2G0zl-scMm-HsbL-ovdy-J4mvzVQBO5uF.jpg,artificial_roughness
images/Yp1H0brV-VXZB-SZTa-PcFZ-Nes25RWxLgM4.jpg,artificial_roughness
images/VhuQ8Uqi-XxbK-TJwS-j5RN-ApJqVTBg0lbZ.jpg,artificial_roughness
images/LudjvYTM-V03e-BeaZ-6Sfj-bpeRzYmtG8Ew.jpg,artificial_roughness
images/QOPu4fCU-4kfL-J7ov-PSZN-1B5v8H3AuTqz.jpg,artificial_roughness
images/Mu3y19NY-qsXy-VMof-wSfN-LqDXmoW4Nuhz.jpg,artificial_roughness
images/yMZdGv0j-tTJH-fwx4-gafH-AHBlzEe17JFx.jpg,artificial_roughness
images/y32Y1FRP-UIoz-HAIJ-1AXu-JqKHskOe9b4W.jpg,artificial_roughness
images/m2q95rCz-ofKr-uJnV-kAJE-2SaltJQUvZ0Y.jpg,artificial_roughness
images/lz2dmZHP-Bg8L-Vtjh-fdJt-epOl6ubi9nG7.jpg,artificial_roughness
images/WZP6OKhH-KeV1-qJ7y-BjFP-lbMAvTCUtx0W.jpg,artificial_roughness
images/OQwZB2S0-SGPA-LTsb-0UBS-JMbKkHzxQY7B.jpg,artificial_roughness
images/Zx3ecD7C-k9Fp-cDgZ-SGrP-IYEzy73wtoVP.jpg,artificial_roughness
images/Smp5nNVo-5yHa-iPwT-QZ85-Wcp2srBk16vX.jpg,artificial_roughness
images/pGf6lq0K-f4Bm-gkom-sOKS-bu7Q5Dn6i4HE.jpg,artificial_roughness
images/UeAOpx1a-YwiD-edxF-hAKQ-u01XWwqKUoFr.jpg,artificial_roughness
images/o9edJjFQ-flzH-FkJp-Ihet-Qbvh4SYNTf0z.jpg,artificial_roughness
images/rZMOdoGg-3yZT-2Xsc-jd3z-YqNVaQ1fGcj6.jpg,artificial_roughness
images/LykEu8aY-KeIS-VOuE-1KJC-UXgNh5vkZm0D.jpg,artificial_roughness
images/WPVLJQzY-PSmF-YLu5-BpH4-M0JKinxGd8gZ.jpg,artificial_roughness
images/nQ7dm0uZ-RM2j-zxZQ-Cjw5-g1yLSntl5UBE.jpg,artificial_roughness
images/YozTWH45-uskc-C367-gyMt-SfnqyZcATKaX.jpg,artificial_roughness
images/tg2LjGZE-I7iA-OqUN-vFUl-5KIfGJuHepPT.jpg,artificial_roughness
images/Qa2k31u6-d4cR-kcSh-DGSe-la7Sd0C4GrPL.jpg,artificial_roughness
images/lCnJiKZ9-n4Oq-jNna-MpyG-cB3h7HbqapxV.jpg,artificial_roughness
images/sFTnXPAc-aKMv-xtCs-cjun-TSDCMKirm15A.jpg,artificial_roughness
images/xWlM1AFK-mfZS-8ML2-bhex-nlB0yLF9EIrx.jpg,artificial_roughness
images/ZIJBp0a4-cRHd-KJpv-YLzy-m7ax8gfRYj1F.jpg,artificial_roughness
images/W0ReJHna-jOtv-ZFko-TRjB-91mRsflBAE4h.jpg,artificial_roughness
images/xHPh5gpZ-BoeI-FMY8-7B0D-mclxLAdJqQ1g.jpg,artificial_roughness
images/VcrNxXT9-e25z-m5WX-nY6R-CcfqWSK8DQoh.jpg,artificial_roughness
images/RBF2gjYQ-45u1-LDzB-g4U0-NwfDFLx6vphE.jpg,artificial_roughness
images/oqnxXjZY-gX2u-s3XM-3V40-oFDkI3exRUgl.jpg,artificial_roughness
images/XqRtBsPe-8KZR-to14-IaVl-mwifUjrNpoAY.jpg,artificial_roughness
images/WSINpkjw-eHyp-U4jY-DV2k-oP6EldfnaXCz.jpg,artificial_roughness
images/MljviHoT-5hv2-jcvA-GTr4-JPXzMCIc82VE.jpg,artificial_roughness
images/np15lgtX-7zaQ-DFTl-dveE-XukBrtEY7xMn.jpg,artificial_roughness
images/UWQndRpb-2Rdg-j8sB-pNVL-UrjXcyELkWZR.jpg,artificial_roughness
images/plczQbrA-jRXw-ZYQU-b7G4-eESRDkXK7JY6.jpg,artificial_roughness
images/zr5BaEeA-qNvY-e3BD-Fv38-h36e5ZdrExfu.jpg,artificial_roughness
images/M9Wrmd0E-XO2b-eiMR-dmIa-YVEtmTRHhe8s.jpg,artificial_roughness
images/uvK18PVR-KNp6-Xe1i-2wxc-ym5dogPei07K.jpg,artificial_roughness
images/UFmI0QDY-b0oT-aVrt-8C5u-HO2RbvLDeThM.jpg,artificial_roughness
images/OjhFpNKw-3fgP-Liug-UFba-R0JUf1DsnHV6.jpg,artificial_roughness
images/z4T7tEX6-G91w-YpGf-AoFi-ZznIQ7O5VNPk.jpg,artificial_roughness
images/WFJctOok-3fkW-Qdys-0Bjr-OWe2gMCBumt6.jpg,artificial_roughness
images/VbEH9Y72-jRVe-zwQ8-JaS8-OHYazp89ej4I.jpg,artificial_roughness
images/lnr082PT-XMrA-M0yf-e6Lv-7sxD3PQMGmog.jpg,artificial_roughness
images/sa9n8xJz-AaKb-EqaR-LIPX-y3fJriOmPHIw.jpg,artificial_roughness
images/ZuP8TsSz-iD6F-P70j-egUN-aGnsrAmKE5BW.jpg,artificial_roughness
images/uZRbDIB7-TzxS-7YZD-d6vr-TdCkrpQbMXj7.jpg,artificial_roughness
images/yfAqUukF-Jxec-9aFc-z2gF-l1abeh4CDOHF.jpg,artificial_roughness
images/loUz6ZHp-CQui-vgnF-QPTv-WViA5cmXjepy.jpg,artificial_roughness
